timestamp,type,satisfaction,failed,date_failed
7/25/2025 10:19:45,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:19:54,Medtronic MiniMed (600/700 series),4,No,NA
7/25/2025 10:20:08,Medtronic MiniMed (600/700 series),4,Yes,7/25/2025
7/25/2025 10:20:19,Medtronic MiniMed (600/700 series),3,Yes,7/23/2025
7/25/2025 10:20:28,Omnipod 5,3,Yes,7/17/2025
7/25/2025 10:21:00,Tandem t:slim X2,4,No,NA
7/25/2025 10:21:00,Omnipod DASH,1,No,NA
7/25/2025 10:21:00,Omnipod DASH,2,Yes,7/16/2025
7/25/2025 10:21:00,Omnipod 5,1,No,NA
7/25/2025 10:21:00,Tandem t:slim X2,4,No,NA
7/25/2025 10:21,Omnipod 5,3,No,NA
7/25/2025 10:21,Omnipod DASH,2,No,NA
7/25/2025 10:22,Medtronic MiniMed (600/700 series),1,No,NA
7/25/2025 10:22,Tandem t:slim X2,1,No,NA
7/25/2025 10:21,Medtronic MiniMed (600/700 series),4,No,NA
7/25/2025 10:22,Omnipod 5,5,Yes,6/27/2025
7/25/2025 10:22,Omnipod 5,5,Yes,7/2/2025
7/25/2025 10:23,Medtronic MiniMed (600/700 series),2,Yes,7/11/2025
7/25/2025 10:23,Medtronic MiniMed (600/700 series),1,No,NA
7/25/2025 10:22,Medtronic MiniMed (600/700 series),2,No,NA
7/25/2025 10:24,Omnipod DASH,5,No,NA
7/25/2025 10:23,Medtronic MiniMed (600/700 series),3,No,NA
7/25/2025 10:24,Omnipod 5,2,No,NA
7/25/2025 10:22,Tandem t:slim X2,2,No,NA
7/25/2025 10:22,Omnipod 5,3,No,NA
7/25/2025 10:25,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:23,Medtronic MiniMed (600/700 series),5,Yes,7/13/2025
7/25/2025 10:23,Tandem t:slim X2,4,No,NA
7/25/2025 10:25,Omnipod DASH,4,Yes,6/26/2025
7/25/2025 10:25,Omnipod 5,3,No,NA
7/25/2025 10:23,Tandem t:slim X2,2,No,NA
7/25/2025 10:24,Omnipod DASH,4,Yes,7/19/2025
7/25/2025 10:23,Omnipod 5,5,No,NA
7/25/2025 10:23,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:27,Tandem t:slim X2,5,No,NA
7/25/2025 10:23,Medtronic MiniMed (600/700 series),2,No,NA
7/25/2025 10:24,Tandem t:slim X2,5,Yes,7/16/2025
7/25/2025 10:26,Tandem t:slim X2,1,No,NA
7/25/2025 10:25,Tandem t:slim X2,1,No,NA
7/25/2025 10:27,Omnipod 5,2,No,NA
7/25/2025 10:28,Tandem t:slim X2,4,Yes,7/11/2025
7/25/2025 10:27,Medtronic MiniMed (600/700 series),5,No,NA
7/25/2025 10:26,Omnipod DASH,3,No,NA
7/25/2025 10:24,Omnipod DASH,1,No,NA
7/25/2025 10:29,Tandem t:slim X2,1,No,NA
7/25/2025 10:29,Omnipod 5,5,No,NA
7/25/2025 10:29,Medtronic MiniMed (600/700 series),2,Yes,7/6/2025
7/25/2025 10:25,Tandem t:slim X2,4,No,NA
7/25/2025 10:28,Omnipod 5,3,No,NA
7/25/2025 10:32,Medtronic MiniMed (600/700 series),4,Yes,7/22/2025
7/25/2025 10:24,Omnipod 5,1,No,NA
7/25/2025 10:27,Omnipod DASH,3,No,NA
7/25/2025 10:27,Omnipod 5,2,No,NA
7/25/2025 10:27,Omnipod 5,3,No,NA
7/25/2025 10:30,Omnipod DASH,5,No,NA
7/25/2025 10:29,Omnipod DASH,3,No,NA
7/25/2025 10:32,Medtronic MiniMed (600/700 series),1,Yes,6/26/2025
7/25/2025 10:25,Medtronic MiniMed (600/700 series),2,No,NA
7/25/2025 10:28,Tandem t:slim X2,3,Yes,7/3/2025
7/25/2025 10:32,Omnipod 5,3,No,NA
7/25/2025 10:28,Tandem t:slim X2,4,Yes,7/13/2025
7/25/2025 10:26,Tandem t:slim X2,5,No,NA
7/25/2025 10:31,Medtronic MiniMed (600/700 series),5,No,NA
